!
!     ZIMS FILE NAME :  B23Ð£ÕýH3A_YF_tie_v2.grd
!     FORMATTED FILE CREATION DATE: 22/02/2021
!     FORMATTED FILE CREATION TIME: 10:12
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   193,  369,  280780.0000,  299180.0000,  2346500.0000,  2356100.0000
   0.0000,  50.0000,  50.0000
@
     -2187.3850     -2187.3521     -2187.2710     -2187.1260     -2186.7720
     -2186.0991     -2184.9761     -2183.2500     -2180.8721     -2177.6970
     -2173.8540     -2169.3110     -2164.4170     -2159.3601     -2154.5830
     -2150.5049     -2147.3870     -2145.6831     -2145.2319     -2146.1899
     -2148.0730     -2150.5271     -2153.3169     -2156.0420     -2158.8521
     -2161.7991     -2164.7791     -2167.7830     -2170.5730     -2172.9490
     -2174.7849     -2175.9131     -2176.2561     -2175.6909     -2174.1970
     -2171.7029     -2168.2329     -2163.7280     -2158.3621     -2152.1521
     -2145.5110     -2138.6689     -2132.2029     -2126.5969     -2122.3579
     -2120.1040     -2119.9761     -2122.4360     -2127.1379     -2134.1030
     -2142.6951     -2152.5210     -2162.8821     -2173.0769     -2182.7229
     -2191.1760     -2198.5100     -2204.4141     -2209.4080     -2213.7849
     -2217.9109     -2222.2300     -2226.8010     -2231.8679     -2237.3250
     -2243.1541     -2249.3391     -2255.8020     -2262.7080     -2270.1880
     -2278.2700     -2287.1631     -2296.4600     -2306.1179     -2315.2529
     -2323.3401     -2329.2581     -2332.0190     -2330.7019     -2324.1450
     -2312.0720     -2293.5930     -2269.3931     -2239.3181     -2204.9980
     -2167.3181     -2128.3569     -2089.9221     -2053.7200     -2021.8470
     -1994.9480     -1974.5570     -1960.1040     -1951.9700     -1948.8361
     -1949.9330     -1953.9919     -1959.7200     -1966.4200     -1973.0031
     -1979.3430     -1984.8990     -1989.8311     -1994.0730     -1997.7660
     -2001.0200     -2003.8590     -2006.3560     -2008.4800     -2010.2230
     -2011.5820     -2012.5260     -2013.1270     -2013.4120     -2013.4830
     -2013.4420     -2013.3250     -2013.2120     -2013.0660     -2012.8920
     -2012.6370     -2012.2531     -2011.7271     -2011.0129     -2010.1560
     -2009.1660     -2008.1060     -2007.0291     -2005.9821     -2005.0240
     -2004.1689     -2003.4570     -2002.8770     -2002.4340     -2002.1260
     -2001.9460     -2001.9091     -2002.0260     -2002.3070     -2002.7710
     -2003.4080     -2004.2260     -2005.1870     -2006.2690     -2007.4240
     -2008.6110     -2009.7760     -2010.8690     -2011.8340     -2012.6021
     -2013.1700     -2013.4910     -2013.6310     -2013.6180     -2013.5220
     -2013.4160     -2013.3270     -2013.3110     -2013.3510     -2013.4561
